geometry_id,g_alpha,contact_width_S
gear_1775,0.0,0.386800699300699
gear_1775,0.0359106759166083,0.392092267092267
gear_1775,0.0718213518332165,0.397383834883835
gear_1775,0.107732027749825,0.402675402675403
gear_1775,0.143642703666433,0.407966970466971
gear_1775,0.179553379583041,0.413258538258538
gear_1775,0.21546405549965,0.418550106050106
gear_1775,0.251374731416258,0.423841673841674
gear_1775,0.287285407332866,0.429133241633242
gear_1775,0.323196083249474,0.43442480942481
gear_1775,0.359106759166083,0.439716377216377
gear_1775,0.395017435082691,0.445007945007945
gear_1775,0.430928110999299,0.450299512799513
gear_1775,0.466838786915907,0.455591080591081
gear_1775,0.502749462832516,0.460882648382649
gear_179,0.0,0.578417084759022
gear_179,0.0343974465307226,0.583134830602902
gear_179,0.0687948930614453,0.587852576446782
gear_179,0.103192339592168,0.592570322290663
gear_179,0.137589786122891,0.597288068134543
gear_179,0.171987232653613,0.602005813978423
gear_179,0.206384679184336,0.606723559822304
gear_179,0.240782125715058,0.611441305666184
gear_179,0.275179572245781,0.616159051510064
gear_179,0.309577018776504,0.620876797353945
gear_179,0.343974465307226,0.625594543197825
gear_179,0.378371911837949,0.630312289041706
gear_179,0.412769358368672,0.635030034885586
gear_179,0.447166804899394,0.639747780729466
gear_179,0.481564251430117,0.644465526573347
gear_179,0.515961697960839,0.649183272417227

